Designator,Mid X,Mid Y,Rotation,Layer
BAU1,129.7,-99.43,180.0,top
C1,142.6,-120.925,90.0,top
C10,140.8,-98.9,90.0,top
C11,144.4,-102.3,270.0,top
C12,138.8,-101.6,270.0,top
C13,158.2,-112.4,0.0,top
C14,165.5,-115.3,270.0,top
C15,170.7,-112.4,0.0,top
C16,152.85,-115.3,270.0,top
C19,170.8,-102.8,180.0,top
C2,129.2,-107.0,90.0,top
C3,136.3625,-120.75,90.0,top
C4,141.45,-103.9,0.0,top
C5,141.4,-101.8,0.0,top
C6,133.6,-120.95,90.0,top
C7,129.9,-104.1,180.0,top
C8,133.6,-104.1,0.0,top
C9,140.7,-80.8,0.0,top
C_BATT1,129.7,-93.13,180.0,top
D1,134.0,-98.8,0.0,top
D5,137.6,-107.4,90.0,top
DC_A1,149.8,-114.5,0.0,top
DC_B1,145.7,-114.5,0.0,top
F1,134.0,-101.3,0.0,top
L1,141.5,-107.4,90.0,top
L2,132.9,-107.5,180.0,top
Q1,131.8,-114.35,90.0,top
Q2,139.7,-114.35,90.0,top
R1,137.2,-101.6,270.0,top
R10,164.6,-105.4,180.0,top
R11,164.575,-107.0,0.0,top
R12,140.575,-87.375,0.0,top
R13,140.575,-89.0,0.0,top
R14,174.8,-117.8,180.0,top
R15,174.8,-121.8,0.0,top
R16,174.8,-119.8,0.0,top
R17,162.3,-121.8,0.0,top
R18,162.3,-119.8,0.0,top
R19,162.3,-117.8,180.0,top
R2,132.25,-85.125,90.0,top
R20,137.9,-104.0,180.0,top
R21,129.9,-85.15,90.0,top
R3,134.55,-85.1375,90.0,top
R4,136.85,-85.125,90.0,top
R5,147.8,-102.3,90.0,top
R6,146.2,-102.3,270.0,top
R7,140.7,-82.4,0.0,top
R8,140.6,-84.2,0.0,top
R9,140.6,-85.8,0.0,top
SERVO_1,166.59,-81.9,90.0,top
SERVO_2,166.6,-85.7,90.0,top
SW1,159.695,-102.4,90.0,top
SWPUSHBOOT1,167.1,-94.8,180.0,top
SWPUSHRESET1,136.7,-93.5,0.0,top
SW_TEAM1,152.13,-102.4,270.0,top
S_3.3V1,132.25,-82.0,270.0,top
S_5V1,134.55,-82.0,270.0,top
S_BATT1,136.85,-81.975,270.0,top
S_ESP1,129.9,-82.0,270.0,top
TEAM_RGB1,166.6,-89.5,90.0,top
U1,152.1,-86.3,0.0,top
U2,130.6,-120.95,180.0,top
U3,156.35,-119.8,180.0,top
U5,139.6,-120.95,180.0,top
U6,168.75,-119.8,180.0,top
UART1,174.5,-86.07,180.0,top
US1,157.17,-106.2,90.0,top
